epoch,train_loss,eval_loss,eval_top1
472,2.152416543984993,1.2574863976478576,65.77
473,2.158702438222614,1.2610548805236816,65.31
474,2.162851487018082,1.2544343210220337,65.91
475,2.1684828909655387,1.2586075769424439,65.77
476,2.1575145629853507,1.2585809236526488,65.93
477,2.156777629168482,1.2568502017974854,66.13
478,2.1552799628730317,1.246153704547882,66.05
479,2.163794770283522,1.2548016340255737,66.01
480,2.1539537763168197,1.249754078102112,66.07
481,2.1547726650702055,1.2503609246253968,66.08
482,2.153739860054778,1.2521459141731262,66.12
483,2.1490707354722653,1.251999453639984,66.34
484,2.153851598234091,1.2527543105125427,66.29
485,2.1574290320754206,1.2544590204238892,65.99
486,2.145693317265578,1.249454632472992,66.25
487,2.157252086414723,1.2493613222122193,65.88
488,2.1529056029191547,1.2588462322235108,65.93
489,2.145330273540316,1.2465197584152221,66.17
490,2.152243951676597,1.2498244704246522,66.23
491,2.1525702317759263,1.2543051936149596,65.69
492,2.153813973431703,1.2545222980499267,66.03
493,2.1532375774371335,1.24944989900589,66.27
494,2.147393125120107,1.248463950252533,66.28
495,2.151871340986098,1.2446532755851745,66.42
496,2.149399023049925,1.250465088748932,65.73
497,2.1489999704873823,1.2500913553237916,66.41
498,2.1509970797466713,1.2529467020988465,66.06
499,2.15492651404553,1.2524458786010741,66.02
500,2.149788910387115,1.246786278152466,66.22
501,2.143527125121689,1.2479996076583861,66.04
502,2.146451427902974,1.247707047367096,66.07
503,2.1488660722016983,1.2482175839424132,66.31
504,2.1496354607094874,1.2519679286956786,66.09
505,2.149657885335319,1.2512316915512085,65.86
506,2.15247625700185,1.2475283566474915,66.33
507,2.139782303579333,1.2472654853820802,66.4
508,2.1513838001768963,1.2451871328353883,66.4
509,2.148105842966429,1.2502457529067994,65.95
510,2.146205092209097,1.247487858390808,66.16
511,2.148476041385978,1.2436975820541383,66.55
512,2.1505991194526,1.2465288175582885,65.94
513,2.1445500455348347,1.253077710533142,66.08
514,2.14342396833222,1.2431781051635742,66.37
515,2.145400917484269,1.2483163647651672,65.92
516,2.1463895860615825,1.2462339582443238,66.03
517,2.1505603898655283,1.2462096396446227,66.54
518,2.144443032530908,1.2489738129615784,66.43
519,2.145117412608656,1.2474758925437928,65.88
520,2.1477106840143434,1.2469183441162108,66.08
521,2.147255769765026,1.2410170152664184,66.37
522,2.1433272812033737,1.251517050743103,66.0
523,2.1478055750667364,1.2484786699295043,66.22
524,2.1357490709588105,1.246913325214386,66.2
525,2.142030805234872,1.246416155052185,66.34
526,2.1435600767978173,1.2442378753662109,66.45
527,2.142497647739708,1.243147096633911,66.34
528,2.136188514711915,1.2413839847564698,66.36
529,2.1541238513401924,1.2400490543365479,66.41
530,2.13671897529182,1.2460720245361327,65.89
531,2.144250082755974,1.2421068099021912,66.22
532,2.1418054633500785,1.2394854524612426,66.16
533,2.1395091477795845,1.2401979095458984,66.41
534,2.13681827128773,1.2496737815856933,66.22
535,2.1416275724100853,1.2463065516471863,66.09
536,2.1427448058403105,1.2481501601219178,65.95
537,2.1449725579055414,1.244621590232849,66.11
538,2.144337168271044,1.252912809753418,66.13
539,2.148021113551991,1.2374267057418824,66.52
540,2.144555278685273,1.2497209874153137,66.33
541,2.1410944780833283,1.2390084186553956,66.48
542,2.138639780684409,1.243819395160675,66.19
543,2.1371811651237187,1.2407356552124023,66.24
544,2.1400503202528713,1.2428591386795045,66.12
545,2.143138520543615,1.2415759046554566,66.28
546,2.1426380158386524,1.24104664478302,66.09
547,2.129778117742795,1.2431982897758485,66.27
548,2.1408590317993554,1.2436049760818482,66.29
549,2.1339887853773853,1.2408391536712646,66.51
550,2.144172796213978,1.2429552889823914,65.95
551,2.1376738510119626,1.2412418657302857,66.33
552,2.1321181064989134,1.24391541223526,66.21
553,2.1451522804863474,1.2416563140869141,66.21
554,2.137818162633576,1.2445509010314941,66.27
555,2.136988309373013,1.2417086510658264,66.24
556,2.146001262182463,1.2435961296081544,66.36
557,2.139319651258129,1.2485743867874146,66.35
558,2.133237851566603,1.2379137901306152,66.3
